final score,round,date,time


80.0,888,2023-06-13,14:19


50.0,88,2023-06-13,18:39
33.33,5555,2023-06-13,18:44
33.33,6666,2023-06-13,18:54
0.0,7878,2023-06-13,18:59
0.0,5666,2023-06-13,19:02
100.0,6666,2023-06-13,19:03
0.0,5555,2023-06-13,19:03
100.0,33333,2023-06-13,19:06
66.67,654,2023-06-13,19:09
85.71,34444444,2023-06-13,19:10
100.0,76767,2023-06-13,19:13
100.0,666,2023-06-14,05:17
83.33,777,2023-06-14,05:52
83.33,444,2023-06-14,05:53
66.67,5,2023-06-14,05:54
80.0,55555,2023-06-14,08:34
100.0,11111,2023-06-14,08:38
